,Year,Donor,Recipient,Value,recipient_code,donor_code,gdp,pop,openness,chn_aid,unsc
13453,2011,New Zealand,Turkey,0.2,TUR,NZL,11335.51051,73443863.0,52.66294096,1000000.0,0.0
13455,2013,New Zealand,Morocco,0.02,MAR,NZL,3121.681176,33715693.0,80.02055856,3228014.858,1.0
13459,2006,New Zealand,Angola,0.08,AGO,NZL,2599.566464,20149901.0,94.62515933,200000.0,0.0
13460,2007,New Zealand,Angola,0.11,AGO,NZL,3121.995637,20905363.0,108.0600679,239835330.6,0.0
13464,2004,New Zealand,Burundi,0.12,BDI,NZL,128.3366128,7131693.0,31.57611818,7910000.0,0.0
13465,2005,New Zealand,Burundi,1.25,BDI,NZL,151.6814634,7364862.0,35.1,0.0,0.0
13474,2008,New Zealand,Ghana,0.19,GHA,NZL,1210.622257,23563825.0,69.51422561,8990000.0,0.0
13475,2009,New Zealand,Ghana,0.17,GHA,NZL,1074.75538,24170940.0,71.59473853,287077602.8,0.0
13476,2010,New Zealand,Ghana,0.16,GHA,NZL,1298.436952,24779619.0,75.37781579,320050000.0,0.0
13478,2012,New Zealand,Ghana,0.13,GHA,NZL,1613.2868369999999,25996449.0,93.16803513,247195507.4,0.0
13849,2004,Norway,Albania,8.0,ALB,NOR,2373.5798440000003,3026939.0,67.04722821,1200000.0,0.0
13850,2005,Norway,Albania,6.58,ALB,NOR,2673.7872829999997,3011487.0,70.87232827,13800.0,0.0
13852,2007,Norway,Albania,5.86,ALB,NOR,3595.0371630000004,2970017.0,83.20210079,1230000.0,0.0
13853,2008,Norway,Albania,4.1,ALB,NOR,4370.539925,2947314.0,77.4517515,0.0,0.0
13854,2009,Norway,Albania,1.91,ALB,NOR,4114.134899000001,2927519.0,75.09491440000001,1463825.351,0.0
13855,2010,Norway,Albania,3.02,ALB,NOR,4094.3588159999995,2913021.0,76.54341698,20000.0,0.0
13856,2011,Norway,Albania,1.46,ALB,NOR,4437.177794,2905195.0,81.21856893,0.0,0.0
