year,recipient_code,chn_aid
2007,IRQ,0
2009,IRQ,0
2010,IRQ,6800000
2003,JAM,2750000
2005,JAM,30000000
2007,JAM,116200000
2009,JAM,45000000
2011,JAM,7892951.366
2013,JAM,16140074.29
2001,JOR,800000
2002,JOR,0
2003,JOR,9743377.863
2004,JOR,1220000
2007,JOR,7800000
2008,JOR,2600000
2010,JOR,5000000
2011,JOR,2800000
2012,JOR,15000000
2013,JOR,200000
2002,KAZ,120817.3414
2006,KAZ,627082.043
2007,KAZ,396000
2000,KEN,108000000
2001,KEN,32745086.62
2002,KEN,4063492.75553
2003,KEN,3174578.3304
2004,KEN,63152.14372
2005,KEN,94548861.3
2006,KEN,1254164.086
2007,KEN,0
2008,KEN,146907071.156
2009,KEN,10911079.2826
2010,KEN,124464431.92819999
2011,KEN,334845857.9918
2012,KEN,100603810.10088001
2013,KEN,96328905.3156
2014,KEN,10042747.39285
2000,KOR,48317907.67
2004,KOR,1208196.283
2005,KOR,0
2007,KOR,25000000
2012,KOR,18000000
2001,KGZ,6040786.18
2002,KGZ,773230.9850000001
2003,KGZ,244216.0479
2004,KGZ,8153275.8384
2005,KGZ,171000
2006,KGZ,10579148.602
2008,KGZ,32450000
2010,KGZ,1181636.943
2011,KGZ,213000000
2012,KGZ,7445741.739
2013,KGZ,1083900000
2001,LAO,30000000
2002,LAO,0
2003,LAO,0
2004,LAO,2778851.4510000004
2005,LAO,86639
2006,LAO,45000000
2007,LAO,64729131.25009
2008,LAO,900000
2009,LAO,167699782.52474
2010,LAO,66225176.22
2011,LAO,43500
2012,LAO,426840.074
2013,LAO,0
2014,LAO,88500000
2000,LBN,600000
2001,LBN,0
2003,LBN,6180000
2006,LBN,2500000
2007,LBN,0
2010,LBN,0
2011,LBN,0
2013,LBN,0
2001,LSO,5226978.1376
2002,LSO,2276878.551
2003,LSO,5479182.795825
2005,LSO,15153353.9542
2006,LSO,32953533.897
2007,LSO,10384444.627
2008,LSO,1000000
2009,LSO,5900.628118
2010,LSO,500000
2011,LSO,29334268.56
2012,LSO,17609015.7256
2013,LSO,0
2014,LSO,0
2003,LBR,0
2004,LBR,2200000
2005,LBR,6247000
2006,LBR,50080000
2007,LBR,11647341.9562
2008,LBR,8200000
2009,LBR,302765.0702
2010,LBR,6341857.0090842
2011,LBR,17464291.2568
2012,LBR,3211881
2013,LBR,1650000
2014,LBR,4805371.9798
2011,LBY,3095275.045
2014,LBY,0
2004,MKD,2500000
2010,MKD,645364.0364
2011,MKD,3100000
2013,MKD,580000000
2014,MKD,5306934.964
2001,MDG,30000000
2002,MDG,4000000
2003,MDG,3624485.575
2004,MDG,4680000
2006,MDG,0
2007,MDG,42000000
2008,MDG,0
2009,MDG,30000000
2010,MDG,0
2011,MDG,0
2012,MDG,0
2013,MDG,0
2014,MDG,0
2008,MWI,70000000
2009,MWI,107763825.351
2011,MWI,2500434.04323
2012,MWI,2916831.17052
2013,MWI,488262.02213
2014,MWI,28767590.79
2004,MYS,19868.42105
2005,MYS,200000
2014,MYS,25665.62777
2005,MDV,915268.5093
2006,MDV,3100000
2008,MDV,19843.75
2011,MDV,0
2013,MDV,3873617.83
2014,MDV,503250.892114
2001,MLI,50474838.15
2007,MLI,62029038.16062
2008,MLI,380000
2009,MLI,22730380.2642
2011,MLI,76261222.7696
2012,MLI,75047586.0916
2013,MLI,121033452.96000001
2014,MLI,1011296.2748
2005,MRT,143000000
2006,MRT,2500000
2007,MRT,61000000
2008,MRT,287825485.7
2009,MRT,9222099.7113
2010,MRT,0
2011,MRT,7738187.613
2012,MRT,12129794
2013,MRT,260000000
2014,MRT,19901006.11
2000,MUS,34286291.16
2001,MUS,2416314.472
2002,MUS,14498080.968
2003,MUS,18795386.116
2004,MUS,2450358.0344430003
2005,MUS,5088107.294712
2006,MUS,118869207.80957
2007,MUS,63095359.76
2008,MUS,0
2009,MUS,268987605.79128
2010,MUS,8773209.807861
2013,MUS,18979470.7801
2009,MEX,5000000
2002,FSM,0
2004,FSM,0
2005,FSM,250000
2006,FSM,3762492.258
2008,FSM,4895650.9713
2009,FSM,11822015.51435
2011,FSM,0
2000,MDA,0
2001,MDA,1200000
2003,MDA,600000
2005,MDA,1200000
2007,MDA,2000000
2009,MDA,40000
2010,MDA,2954092.358
2013,MDA,0
2000,MNG,0
2002,MNG,11910160.7989
2003,MNG,604080.9291
2007,MNG,2628973.323
2010,MNG,1577046.179
2011,MNG,139287.377
2012,MNG,200000000
2013,MNG,0
2014,MNG,284900000
2014,MNE,911466080
2002,MAR,96653.87312
2004,MAR,604098.1414
2006,MAR,2501255.365
2008,MAR,0
2009,MAR,1365255.489
2010,MAR,0
2011,MAR,0
2013,MAR,3228014.858
2000,MOZ,200000
2001,MOZ,22150000
2002,MOZ,120000
2003,MOZ,5400000
2004,MOZ,15600000
2005,MOZ,47378525.56
2006,MOZ,70020000
2007,MOZ,192129676.64
2008,MOZ,21000000
2009,MOZ,6750000
2010,MOZ,2278600
2011,MOZ,681600000
2012,MOZ,325700000
2013,MOZ,467100000
2014,MOZ,133000000
2000,MMR,17500746.16
2002,MMR,72000000
2003,MMR,206656890.2201
2004,MMR,3382949.592
2005,MMR,1574109.8279
2006,MMR,30162646.2743
2008,MMR,5817382.285
2009,MMR,8208421.966
2010,MMR,0
2011,MMR,500000
2012,MMR,10000
2013,MMR,8098538.7723
2014,MMR,121908.3846
2001,NAM,0
2002,NAM,5217846.68
2003,NAM,7931525.379
2004,NAM,0
2005,NAM,69985716.628091
2006,NAM,2508328.172
2007,NAM,58116067.8845
2008,NAM,2878254.857
2009,NAM,17668264.466247
2010,NAM,0
2011,NAM,16994595.0204
2012,NAM,129168400.74
2013,NAM,24287790.947470002
2014,NAM,78516282.85900001
2002,NRU,137000000
2000,NPL,0
2001,NPL,61580000
2002,NPL,0
2004,NPL,0
2005,NPL,2860000
2006,NPL,2508328.172
2007,NPL,8021881.97517
2008,NPL,0
2009,NPL,200439147.6053
2010,NPL,10512160.9589
2011,NPL,311014512.158
2012,NPL,31810743.429599997
2013,NPL,66518987.008999996
2014,NPL,215980000
2000,NIC,4065683.98
2007,NIC,30000000
2001,NER,12000000
2002,NER,5026947.4019
2003,NER,31412.20831
2004,NER,0
2005,NER,284377.3639
2006,NER,376249.2258
2007,NER,5591779.6654
2008,NER,215869.1142
2009,NER,7611891.8252
2010,NER,1779906.9891
2011,NER,3178867.808
