"Data Source","World Development Indicators",

"Last Updated Date","2019-07-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Benin","BEN","Trade (% of GDP)","NE.TRD.GNFS.ZS","18.2341998166072","14.1181216852278","13.4771276576628","15.447259020027","17.3805034251725","22.1732736350777","23.0426078397633","27.4380883208416","28.4112293667841","33.2017249500644","39.6379034467417","45.6184127164884","41.1845516067007","41.6121426133332","43.8114045020463","47.9412279615522","44.0197577086964","50.9596855186593","51.0704526504407","54.5381681535616","53.1386195994861","59.8893720979652","57.8573353739462","45.3420118908271","50.5113034919755","60.3012179781571","49.2914176982042","46.2181352147978","45.8868280290306","38.3003673589405","45.7201821451396","51.3447168355486","56.7407458048553","55.3817991336605","64.4004792535565","63.800140010475","56.5177914456367","58.7116296113966","59.5936252981433","64.6700078497675","55.99169035644","57.2759199877844","51.4842649131048","48.7223543924575","46.3702587289626","45.8165601073487","46.8518725129235","57.8049632995456","56.4979180363796","51.8470100262593","56.6399410520827","50.6668303862009","54.7516983253646","63.8936018213567","74.1768559224919","58.7978847750724","61.0906566522829","67.5771284358836","79.5742632417844",
"Burkina Faso","BFA","Trade (% of GDP)","NE.TRD.GNFS.ZS","20.7013700595553","21.2188624397492","21.2379483918704","21.2485012803128","14.3172756393415","16.0292171246163","16.7002191862921","18.8558132843739","21.4921288241186","22.3496083648567","21.5970104218475","25.442556614231","27.688726861213","29.231336311371","32.7936788935997","37.4993707069501","35.2134956783333","38.4035337580082","35.2192484844596","37.5285780653351","40.213028682332","40.7115242526657","39.8197514428109","37.4582972460124","39.7187056640872","40.9475469828696","37.9617294229875","39.4399463300075","38.1296822765951","32.3947599439306","35.4226504401749","33.7962364263647","28.3740163771975","29.6250839534616","39.2292222386411","40.7474714183407","38.1802977691941","37.4164187803511","40.9397835752562","33.6863261234128","34.5123824969857","32.3692329044732","30.8729064656754","30.7325181469586","37.1285844672402","35.5357195534817","36.9575709986318","35.4245345810243","36.3105384865982","40.4208553601654","48.8668309061283","58.1539870387695","62.6790476334154","50.139608310745","46.6250086362305","47.9479044078272","51.9403785151064","52.3406940524368","63.5743998714047",
"Bangladesh","BGD","Trade (% of GDP)","NE.TRD.GNFS.ZS","19.3039436708071","22.4823523745223","21.554848275691","21.6397630631354","24.1502678104311","23.0293137134448","22.9361029749964","21.9018601093214","19.9371403769383","19.8113211700256","20.8205969538367","17.0190718372794","19.4072895559385","18.3946565109774","14.0496210654104","10.9956261323865","22.3822749296616","19.4221981983695","21.0385149611892","21.9070635430834","23.377231112235","19.2471590909091","20.6069241937352","20.3168806212371","16.8117271749034","18.2221846249994","17.0187425082782","16.6877976312963","17.6780643099612","18.3251740190693","18.9665020125385","18.8898268850747","19.9340055024511","23.1215830698982","22.8658645545703","28.2094960764218","26.0760877233809","26.3255133900833","27.8800634028394","28.3879405571158","29.3217143619038","32.0980170730117","28.9673807211649","27.657884900158","26.8582341492431","34.396934864465","38.1119244325921","39.9423826531735","42.6209140325589","40.092796223023","37.8028426708321","47.4208498356898","48.1109227476789","46.2964027239758","44.5140801968096","42.0859963070382","37.9542963529911","35.3040000906967","38.2448929879071",
"Bulgaria","BGR","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","66.3964173548912","70.1610468042275","67.4993968221142","74.0878629932986","78.3773116646511","85.9973677186588","83.5035643944016","83.4076531631779","91.4617513059035","94.578970772527","69.847060845197","82.6823876197495","100.049800796813","84.0414854466377","90.7201293759513","55.5958671819544","86.5894727130138","87.2692464747278","77.5016917450445","90.7096353904865","78.2943876710661","79.6874898377288","75.8541332654957","79.625213509477","93.7808170932144","100.496881095796","111.85983979436","123.591957645279","124.844857942792","92.9411023225034","103.207246630726","117.761983184537","124.776451601894","130.190274118347","130.77737714313","128.061014821304","123.643790502497","131.075933394364","128.141594232307",
"Bahrain","BHR","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","239.348924963302","251.13888334995","225.758688357164","189.632583309598","190.330268981954","191.610232321025","183.523568876884","189.767930827029","172.832411464694","186.273821160598","210.160965794769","180.64181022066","181.124037169727","164.603897100189","155.17817162615","152.464315379845","164.115419261449","148.582078139234","128.48910154402","141.831698808263","135.809015765396","127.02611196662","130.607523233005","128.091486797096","140.737233188148","148.313492997025","147.10185544489","137.785050572304","145.882662049033","117.963725409489","120.472394522656","174.158964879852","185.888975188856","191.877804995067","175.564650647056","154.067392842373","139.131868992788","142.831515257054","159.185475216962",
"Bahamas, The","BHS","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","148.793828892006","150.180201826045","129.075265039896","133.258443795402","129.75113915177","125.337388329215","124.584487534626","121.895056587134","124.061710865761","121.72295247725","117.126017580178","","111.000326583932","110.120025268478","106.118618136001","101.461563203602","103.359961190168","104.401963792574","104.465441819773","105.856747021336","79.7348855718879","77.7261671656993","75.7027383336782","79.6449438925669","72.5008806383396","70.2779817050926","71.063540505226","76.0019833710461","81.3962709176308","87.5507143032777","88.0128155625079","87.4292228766863","76.5210439633098","78.6756024311196","88.3336891598687","84.2507345739471","85.5150739583725","87.7123013881157","73.6870669843881","73.4863330742981","75.4639412601442","",
"Bosnia and Herzegovina","BIH","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101.847227683838","91.8796126648453","107.500043530726","100.630964756317","125.666609057011","121.820541564193","104.192438189751","104.318900119379","95.2784791259677","113.4597628404","94.6550259619736","103.26487213645","98.0435219944544","83.5518574069494","86.1628773169201","73.7474978345482","80.9682123203619","87.8363496197781","88.1451116227118","87.9312420585364","90.613870317716","88.1983009370755","87.9455740046802","96.4931390593461","98.2197119243424",
"Belarus","BLR","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.6073903002309","66.6666666666667","117.391304347826","150.964467005076","155.375709548699","103.718194772782","96.7748997857579","125.516179156558","122.957697735989","120.83511782963","141.609165955024","137.044930473063","131.002058282291","134.141852273225","142.136510387704","118.88435169233","124.295103889387","128.153877979073","129.599478545475","108.63564482836","113.067503303039","157.974255073313","153.085269313372","119.815965235724","110.651424367582","115.914826201946","125.209322899662","133.367754723012","139.343480167116",
"Belize","BLZ","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","102.341747670488","106.384682842081","97.9937787932662","94.2278520234975","109.383270281863","90.621780030458","93.6906998728032","101.456893022773","107.296399310121","104.325600040742","100.241628725236","43.6228802006652","102.638695150559","96.8751197289671","102.270110871105","97.0720178849822","100.269300534251","108.486456089493","109.509168061276","121.675786526963","126.645263882971","119.962721104727","118.692344023552","119.121744960906","109.074108648191","117.355392335703","122.785674046196","122.309942434676","132.024217880257","107.987736080451","116.054540038004","124.744881047857","124.899697239693","129.571253153245","125.315638049016","122.330411319895","112.219874255959","111.827101878499","",
"Bermuda","BMU","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.999706185164","77.2691870746085","76.480186266016","75.4166518435904","77.2607832126178","","","","","",
